Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,$33.00 ,323,"10,659.00",$448 ,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,$53.00 ,322,"17,066.00",$478 ,Outlet
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,$40.00 ,322,"12,880.00",$425 ,Outlet
Sports Direct,1197831,9/18/2021,South,Texas,Dallas,Women's Street Footwear,$33.00 ,322,"10,626.00",$446 ,Outlet
Sports Direct,1197831,4/17/2021,South,Tennessee,Knoxville,Women's Street Footwear,$30.00 ,322,"9,660.00",$483 ,Outlet
Sports Direct,1197831,9/8/2021,South,Alabama,Birmingham,Women's Street Footwear,$31.00 ,322,"9,982.00",$559 ,Outlet
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,$25.00 ,320,"8,000","$3,200 ",Online
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,$36.00 ,320,"11,520.00",$403 ,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,$44.00 ,320,"14,080.00",$408 ,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,$59.00 ,319,"18,821.00","$1,129 ",Online
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,$37.00 ,319,"11,803.00",$531 ,Online
Foot Locker,1185732,8/12/2020,Southeast,Florida,Miami,Men's Street Footwear,$43.00 ,319,"13,717.00",$782 ,Online
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,$41.00 ,318,"13,038.00",$482 ,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,$54.00 ,317,"17,118.00","$1,096 ",Online
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,$39.00 ,315,"12,285.00",$405 ,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,$35.00 ,315,"11,025.00",$397 ,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,$35.00 ,315,"11,025.00",$364 ,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,$28.00 ,315,"8,820.00",$335 ,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,$36.00 ,315,"11,340.00",$442 ,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,$44.00 ,315,"13,860.00",$513 ,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,$24.00 ,315,"7,560.00",$295 ,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,$36.00 ,315,"11,340.00",$431 ,Outlet
Kohl's,1189833,5/25/2021,West,California,Los Angeles,Men's Street Footwear,$39.00 ,315,"12,285.00",$565 ,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,$27.00 ,314,"8,478.00",$348 ,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,$37.00 ,314,"11,618.00",$430 ,Outlet
Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,Women's Street Footwear,$39.00 ,314,"12,246.00",$576 ,Outlet
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,$46.00 ,313,"14,398.00",$893 ,Online
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,$55.00 ,313,"17,215.00","$1,050 ",Online
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,$62.00 ,312,"19,344.00","$1,238 ",Online
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$38.00 ,312,"11,856.00",$700 ,Online
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,$40.00 ,312,"12,480.00",$449 ,Outlet
Foot Locker,1185732,7/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,$63.00 ,311,"19,593.00","$1,156 ",Online
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,$43.00 ,310,"13,330.00",$467 ,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,$53.00 ,308,"16,324.00",$669 ,Online
Sports Direct,1185732,8/3/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,$61.00 ,308,"18,788.00",$996 ,Online
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,$43.00 ,306,"13,158.00",$487 ,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,$43.00 ,306,"13,158.00",$461 ,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$34.00 ,306,"10,404.00",$406 ,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,$41.00 ,306,"12,546.00",$502 ,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,$20.00 ,306,"6,120.00",$257 ,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,$23.00 ,306,"7,038.00",$260 ,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,$29.00 ,306,"8,874.00",$364 ,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,$31.00 ,306,"9,486.00",$379 ,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,$41.00 ,306,"12,546.00",$690 ,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,$60.00 ,306,"18,360.00",$477 ,Outlet
West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,$46.00 ,306,"14,076.00",$282 ,Outlet
Kohl's,1189833,5/1/2021,West,California,Los Angeles,Men's Street Footwear,$36.00 ,306,"11,016.00",$496 ,Outlet
Sports Direct,1197831,4/14/2021,South,Tennessee,Knoxville,Women's Apparel,$37.00 ,306,"11,322.00",$668 ,Outlet
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,$62.00 ,306,"18,972.00",$816 ,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,$64.00 ,305,"19,520.00",$761 ,Online
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,$27.00 ,305,"8,235.00",$305 ,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,$33.00 ,305,"10,065.00",$382 ,Outlet
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Women's Street Footwear,$39.00 ,305,"11,895.00",$511 ,Outlet
West Gear,1185732,9/17/2020,Southeast,Florida,Miami,Men's Street Footwear,$60.00 ,304,"18,240.00","$1,040 ",Online
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,$36.00 ,302,"10,872.00",$565 ,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,$45.00 ,302,"13,590.00",$544 ,Outlet
Sports Direct,1197831,4/1/2021,South,Tennessee,Knoxville,Men's Apparel,$30.00 ,300,"9,000","$3,150 ",Outlet
Sports Direct,1197831,9/28/2021,South,Alabama,Birmingham,Men's Apparel,$30.00 ,300,"9,000","$4,050 ",Outlet
Foot Locker,1185732,5/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$30.00 ,300,"9,000","$3,150 ",In-store
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00 ,300,"4,500","$1,575 ",In-store
West Gear,1185732,2/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,300,"6,000","$2,400 ",In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,300,"6,000","$2,100 ",In-store
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Street Footwear,$30.00 ,300,"9,000","$3,600 ",Online
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,300,"6,000","$2,400 ",Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,300,"6,000","$2,400 ",Online
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$25.00 ,300,"7,500","$2,625 ",Online
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,300,"4,500","$1,800 ",Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,$20.00 ,300,"6,000","$2,400 ",Online
Kohl's,1197831,11/20/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$15.00 ,300,"4,500","$1,575 ",Online
Kohl's,1197831,2/14/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,$15.00 ,300,"4,500","$1,575 ",Online
Kohl's,1197831,4/13/2021,Midwest,Kansas,Wichita,Women's Apparel,$30.00 ,300,"9,000","$3,150 ",Online
Foot Locker,1197831,10/14/2021,Midwest,Kansas,Wichita,Women's Apparel,$30.00 ,300,"9,000","$3,150 ",Online
West Gear,1185732,6/3/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$30.00 ,300,"9,000","$3,150 ",In-store
West Gear,1185732,1/10/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$25.00 ,300,"7,500","$2,625 ",In-store
West Gear,1185732,2/10/2021,Midwest,Indiana,Indianapolis,Women's Apparel,$20.00 ,300,"6,000","$2,400 ",In-store
West Gear,1185732,1/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,$25.00 ,300,"7,500","$3,000 ",In-store
West Gear,1185732,2/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,$30.00 ,300,"9,000","$3,600 ",In-store
Sports Direct,1185732,1/7/2021,Northeast,New Jersey,Newark,Women's Street Footwear,$30.00 ,300,"9,000","$2,700 ",In-store
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,$45.00 ,300,"13,500.00",$837 ,Online
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,$51.00 ,300,"15,300.00",$643 ,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,$52.00 ,300,"15,600.00",$874 ,Online
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,299,"17,940.00","$1,076 ",Online
West Gear,1185732,9/11/2020,Southeast,Florida,Miami,Men's Street Footwear,$60.00 ,299,"17,940.00","$1,076 ",Online
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,$42.00 ,298,"12,516.00",$713 ,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,$38.00 ,298,"11,324.00",$430 ,Outlet
West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Street Footwear,$60.00 ,298,"17,880.00",$751 ,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,$39.00 ,297,"11,583.00",$533 ,Online
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,$38.00 ,297,"11,286.00",$429 ,Outlet
Kohl's,1189833,4/19/2021,West,California,Los Angeles,Men's Street Footwear,$36.00 ,297,"10,692.00",$470 ,Outlet
Walmart,1128299,7/16/2021,Southeast,Florida,Orlando,Men's Street Footwear,$68.00 ,297,"20,196.00",$747 ,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,$37.00 ,296,"10,952.00",$383 ,Outlet
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,$37.00 ,296,"10,952.00",$449 ,Outlet
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$25.00 ,295,"7,375","$2,581 ",In-store
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,$35.00 ,295,"10,325.00",$434 ,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,$32.00 ,295,"9,440.00",$538 ,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,$28.00 ,295,"8,260.00",$339 ,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,$29.00 ,295,"8,555.00",$342 ,Outlet
Sports Direct,1185732,7/2/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,$60.00 ,294,"17,640.00",$882 ,Online
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,$43.00 ,294,"12,642.00",$531 ,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,$47.00 ,293,"13,771.00",$868 ,Online
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,$51.00 ,293,"14,943.00",$598 ,Online
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,$48.00 ,290,"13,920.00",$529 ,Online
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,$59.00 ,290,"17,110.00",$616 ,Online
